#Freq. (Hz),In (Vrms),Out (Vrms),Pdel,Ndel
100.0,0.358,0.376,0.0,0.0
114.0,0.362,0.384,0.0,0.0
128.0,0.36,0.382,0.0,0.0
144.0,0.353,0.375,0.00027,9.9e+37
159.0,0.364,0.383,0.00026,9.9e+37
181.0,0.351,0.369,0.00018,-0.00538
202.0,0.362,0.378,0.00017,0.0001
223.0,0.356,0.371,0.0002,0.00017
255.0,0.354,0.369,0.0002,0.00018
287.0,0.353,0.368,0.000212,9.9e+37
325.0,0.362,0.374,0.000192,9.9e+37
357.0,0.351,0.362,0.000172,9.9e+37
403.0,0.361,0.367,0.000192,9.9e+37
463.0,0.357,0.363,0.000192,0.000184
520.0,0.353,0.356,0.000184,0.000184
574.0,0.356,0.356,0.00018,0.000196
657.0,0.361,0.351,0.000184,0.000168
735.0,0.353,0.339,0.000192,0.000176
819.0,0.359,0.333,-0.00104,0.000184
925.0,0.358,0.329,0.000192,0.000184
1020.0,0.353,0.312,0.000192,0.000176
1180.0,0.356,0.296,0.000188,-0.00068
1320.0,0.359,0.278,0.000188,0.000176
1470.0,0.358,0.244,0.000175,9.9e+37
1640.0,0.357,0.218,0.00018,-0.000416
1870.0,0.357,0.185,0.000183,0.000182
2100.0,0.355,0.148,0.00018,0.000182
2360.0,0.361,0.11,-0.00024,0.000182
2660.0,0.353,0.0631,-0.00019,0.000183
2980.0,0.359,0.019,3.56e-05,9.9e+37
3380.0,0.355,0.0255,2.96e-05,9.9e+37
3790.0,0.356,0.0592,4.36e-05,9.9e+37
4240.0,0.353,0.0786,6.72e-05,-0.000173
4810.0,0.359,0.0767,7.68e-05,7.84e-05
5320.0,0.354,0.0541,-9.68e-05,8.8e-05
6020.0,0.359,0.0147,-7.2e-05,0.000101
6760.0,0.353,0.0279,-0.00011,3.44e-05
7580.0,0.357,0.0475,-7.76e-05,5.12e-05
8470.0,0.352,0.0316,-5.12e-05,-5.52e-05
9710.0,0.36,0.0098,-1.16e-05,-9.59e-06
10600.0,0.356,0.0339,4.8e-05,-5.12e-05
12000.0,0.352,0.0108,-2.6e-05,-2.04e-05
13700.0,0.346,0.0242,9.9e+37,9.9e+37
15400.0,0.361,0.0062,-1.42e-05,9.9e+37
17400.0,0.349,0.0194,-1.57e-05,-4.03e-05
19200.0,0.359,0.011,-2.16e-05,2.62e-05
21700.0,0.349,0.0024,-2.38e-05,1.75e-05
24500.0,0.358,0.00447,1e-06,7.1e-06
27800.0,0.357,0.00655,-8.6e-06,0.0
31300.0,0.361,0.00445,-9.6e-07,9.9e+37
35000.0,0.348,0.00688,-2.24e-06,9.9e+37
39400.0,0.358,0.0134,0.0,9.9e+37
43900.0,0.348,0.00493,-3.36e-06,-1.21e-05
50000.0,0.354,0.0905,9.9e+37,9.9e+37
55900.0,0.345,0.00566,9.9e+37,9.9e+37
62500.0,0.358,0.00196,5.9e-06,9.9e+37
70400.0,0.345,0.0024,-1.04e-06,9.9e+37
79400.0,0.356,0.00299,1.04e-06,9.9e+37
89300.0,0.347,0.00339,9.9e+37,-7.82e-06
100000.0,0.352,0.00742,2.7e-06,9.75e-06
