#Freq. (Hz),In (Vrms),Out (Vrms),Pdel,Ndel
101.0,1.08,1.07,0.0,0.0
125.0,1.08,1.08,0.0,0.0
160.0,1.09,1.09,0.0,9.9e+37
205.0,1.08,1.08,0.0,0.0
260.0,1.06,1.05,0.0,0.0
329.0,1.08,1.07,0.0,9.9e+37
420.0,1.07,1.06,0.0,0.0
531.0,1.06,1.05,0.0,0.0
675.0,1.07,1.06,0.0,0.0
862.0,1.06,1.05,0.0,0.0
1090.0,1.07,1.06,0.0,0.0
1370.0,1.05,1.03,1.4e-05,9.9e+37
1740.0,1.05,1.03,1.4e-05,-0.000556
2230.0,1.05,1.02,1.4e-05,1.6e-05
2780.0,1.08,1.03,1.4e-05,1.6e-05
3570.0,1.05,0.981,1.36e-05,9.9e+37
4500.0,1.06,0.96,1.36e-05,1.4e-05
5750.0,1.06,0.914,1.44e-05,1.44e-05
7250.0,1.05,0.852,1.24e-05,1.4e-05
9170.0,1.07,0.78,1.2e-05,1.24e-05
11900.0,1.07,0.688,1.08e-05,1.2e-05
14900.0,1.08,0.599,9.99e-06,9.9e+37
18700.0,1.07,0.494,8.79e-06,9.2e-06
24000.0,1.08,0.403,7.6e-06,8.19e-06
30500.0,1.08,0.326,6.04e-06,9.9e+37
38500.0,1.08,0.265,5.44e-06,9.9e+37
49000.0,1.08,0.211,4.24e-06,4.4e-06
61700.0,1.09,0.165,3.12e-06,9.9e+37
79400.0,1.08,0.138,2.84e-06,9.9e+37
100000.0,1.07,0.114,2.26e-06,2.36e-06
